Dataset,Project,Deffects (%),Percent,Classifier,F1,AUC,PF
PROMISE,lucene-2.0,91 (46.67 %),46.67,EASC-RBF,0.4516,0.7116,0.0481
PROMISE,lucene-2.0,91 (46.67 %),46.67,EASC-RF,0.5393,0.62,0.375
PROMISE,lucene-2.0,91 (46.67 %),46.67,EASC-SVM,0.2136,0.7048,0.0096
PROMISE,xalan-2.5,387 (48.19 %),48.19,EASC-DT,0.4907,0.5244,0.2452
PROMISE,xalan-2.5,387 (48.19 %),48.19,EASC-LR,0.4264,0.5915,0.1875
PROMISE,xalan-2.5,387 (48.19 %),48.19,EASC-NB,0.4194,0.6082,0.2476
PROMISE,xalan-2.5,387 (48.19 %),48.19,EASC-RBF,0.4885,0.6285,0.2596
PROMISE,xalan-2.5,387 (48.19 %),48.19,EASC-RF,0.514,0.5566,0.3486
PROMISE,xalan-2.5,387 (48.19 %),48.19,EASC-SVM,0.2908,0.6271,0.101
PROMISE,ckjm,5 (50.0 %),50.0,EASC-DT,0.5714,0.58,0.0
PROMISE,ckjm,5 (50.0 %),50.0,EASC-LR,0.0,0.68,0.0
PROMISE,ckjm,5 (50.0 %),50.0,EASC-NB,0.0,0.8,0.0
PROMISE,ckjm,5 (50.0 %),50.0,EASC-RBF,0.3333,0.76,0.0
PROMISE,ckjm,5 (50.0 %),50.0,EASC-RF,0.3333,0.64,0.0
PROMISE,ckjm,5 (50.0 %),50.0,EASC-SVM,0.0,0.64,0.0
PROMISE,workflow,20 (51.28 %),51.28,EASC-DT,0.3333,0.4737,0.2632
PROMISE,workflow,20 (51.28 %),51.28,EASC-LR,0.2609,0.6658,0.0
PROMISE,workflow,20 (51.28 %),51.28,EASC-NB,0.2609,0.5842,0.0
PROMISE,workflow,20 (51.28 %),51.28,EASC-RBF,0.2609,0.5868,0.0
PROMISE,workflow,20 (51.28 %),51.28,EASC-RF,0.3846,0.6395,0.0526
PROMISE,workflow,20 (51.28 %),51.28,EASC-SVM,0.0,0.5711,0.0
PROMISE,szybkafucha,14 (56.0 %),56.0,EASC-DT,0.4,0.6981,0.1818
PROMISE,szybkafucha,14 (56.0 %),56.0,EASC-LR,0.0,0.1948,0.0
PROMISE,szybkafucha,14 (56.0 %),56.0,EASC-NB,0.0,0.6623,0.0
PROMISE,szybkafucha,14 (56.0 %),56.0,EASC-RBF,0.0,0.5065,0.0
PROMISE,szybkafucha,14 (56.0 %),56.0,EASC-RF,0.0,0.6623,0.0
PROMISE,szybkafucha,14 (56.0 %),56.0,EASC-SVM,0.0,0.5974,0.0
PROMISE,ivy-1.1,63 (56.76 %),56.76,EASC-DT,0.3218,0.5018,0.2083
PROMISE,ivy-1.1,63 (56.76 %),56.76,EASC-LR,0.24,0.729,0.0625
PROMISE,ivy-1.1,63 (56.76 %),56.76,EASC-NB,0.25,0.7098,0.0
PROMISE,ivy-1.1,63 (56.76 %),56.76,EASC-RBF,0.2703,0.7561,0.0208
PROMISE,ivy-1.1,63 (56.76 %),56.76,EASC-RF,0.3038,0.711,0.0833
PROMISE,ivy-1.1,63 (56.76 %),56.76,EASC-SVM,0.1449,0.6387,0.0208
PROMISE,lucene-2.2,144 (58.3 %),58.3,EASC-DT,0.5085,0.5399,0.3107
PROMISE,lucene-2.2,144 (58.3 %),58.3,EASC-LR,0.1595,0.6338,0.0583
